Affiliation,total_registrations,no_of_accounts_created,no_of_accounts_needed
IITT - INDUR INSTITUTE OF ENGINEERING AND TECHNOLOGY,7,5,2
KARUNYA INSTITUTE OF TECHNOLOGY AND SCIENCES,1,0,1
D.N.R COLLEGE OF ENGINEERING AND TECHNOLOGY,2,0,2
SAVEETHA INSTITUTE OF MEDICAL AND TECHNICAL SCIENCES,1,0,1
IIT ROORKEE,2,2,0
BNM INSTITUTE OF TECHNOLOGY,2,1,1
PRATHYUSHA ENGINEERING COLLEGE,1,1,0
SAVEETHA SCHOOL OF ENGINEERING,16,2,14
MADANAPALLE INSTITUTE OF TECHNOLOGY AND SCIENCE,13,2,11
"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTA",1,0,1
R.V.R & J.C COLLEGE OF ENGINEERING,9,2,7
SRMAP UNIVERSITY,1,0,1
SOILSOFT TECHNOLOGIES,1,0,1
VISHWA VISHWA INSTITUTE,1,0,1
STLW - STANLEY COLLEGE OF ENGG AND TECHNOLOGY FOR WOMEN (AUTONOMOUS),256,107,149
"G PULLA REDDY ENGINEERING COLLEGE (AUTONOMOUS), KURNOOL",15,3,12
NARASARAOPETA ENGINEERING COLLEGE,10,3,7
NARAYANA ENGINEERING COLLEGE,4,1,3
VIGNAN INSTITUTE OF ENGINEERING FOR WOMEN,1,0,1
JPNE - JAYA PRAKASH NARAYAN COLLEGE OF ENGINEERING,63,6,57
IIT KANPUR,1,0,1
SANKETIKA VIDYA PARISHAD ENGENEERING COLLEGE,1,0,1
SIR PADAMPAT SINGHANIA UNIVERSITY,1,0,1
VIJAY RURAL ENGINEERING COLLEGE,7,3,4
"VISHNU INSTITUTE OF TECHNOLOGY, BHIMAVARAM",2,1,1
G PULLAIAH COLLEGE OF ENGINEERING AND TECHNOLOGY,8,1,7
SRI HARSHINI DEGREE COLLEGE,1,0,1
UNIVERSITY OF CINCINNATI,1,1,0
KITS - KAKATIYA INSTITUTE OF TECHNOLOGY AND SCI,64,21,43
SAMHITHA DEGREE COLLEGE,1,0,1
SRI VENKATESWARA UNIVERSITY,3,1,2
IIT MADRAS,8,3,5
SWARANDHRA COLLEGE OF ENGINEERING AND TECHNOLOGY,3,0,3
SAINT LOUIS UNIVERSITY,2,0,2
LAKIREDDY BALI REDDY COLLEGE OF ENGINEERING,12,5,7
SRM UNIVERSITY AP,21,5,16
VELTECH UNIVERSITY,3,0,3
LOVELY PROFFESSIONAL UNIVERSITY,1,0,1
UNIVERSITY OF VISVESVARAYA COLLEGE OF ENGINEERING,1,1,0
SVIT - SWAMI VIVEKANANDA INST OF TECHNOLOGY,24,5,19
BOSE - ANU BOSE INSTT OF TECHNOLOGY,31,5,26
VIRGINIA UNIVERSITY SCIENCE AND TECHNOLOGY,1,0,1
TSWRDC MAHENDRAHILLS AFFILIATED WITH OSMANIA UNIVERSITY,1,0,1
VASIREDDY VENKATADRI INSTITUTE OF TECHNOLOGY,31,11,20
NORTHEASTERN UNIVERSITY,2,1,1
KKR & KSR INSTITUTE OF TECHNOLOGY AND SCIENCES,3,0,3
SHRI VISHNU ENGINERING COLLEGE FOR WOMEN,1,0,1
"OSMANIA DEGREE COLLEGE, KURNOOL",1,1,0
K L UNIVERSITY,9,2,7
VEL TECH UNIVERSITY,7,2,5
MERCEDES BENZ,1,1,0
SPEC - ST PETERS ENGINEERING COLLEGE (AUTONOMOUS),115,42,73
SEA COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
TEXAS A&M,1,0,1
BENNETT UNIVERSITY,10,4,6
SREE VIDYANIKETHAN ENGINEERING COLLEGE,7,2,5
PUDUCHERRY TECHNOLOGICAL UNIVERSITY,2,2,0
MIRACLE SOFTWARE SYSTEMS,1,0,1
GIET COLLEGE OF ENGINEERING,3,0,3
"UNIVERSITY OF NORTH TEXAS,DENTON",1,0,1
NATIONAL INSTITUTE OF TECHNOLOGY DURGAPUR,2,2,0
VIT-AP,8,2,6
RISHIHOOD UNIVERSITY,1,1,0
"VELLORE INSTITUTE OF TECHNOLOGY, VELLORE",5,2,3
SRKR ENGINEERING COLLEGE,12,6,6
OUTLIER,1,0,1
"APS COLLEGE OF ENGINEERING (VTU), KARNATAKA",1,0,1
SATHYABAMA INSTITUTE OF SCIENCE AND TECHNOLOGY,10,3,7
DR MGR EDUCATIONAL AND RESEARCH INSTITUTE,3,1,2
UNITY DEGREE COLLEGE,1,0,1
HEXAWARE TECHNOLOGIES,1,0,1
SRI CHANDRASEKHARENDRA SARASWATHI VISWA MAHAVIDYALAYA,1,0,1
ADAMS ENGINEERING COLLEGE,1,0,1
COVESTRO AG,1,0,1
NCI,1,1,0
UNIVERSITY OF NEWHAVEN,1,0,1
SIMON FRASER UNIVERSITY,1,0,1
"CALIFORNIA STATE UNIVERSITY, FRESNO",1,0,1
JOGI - JOGINPALLY B R ENGINEERING COLLEGE,38,14,24
KAKATIYA UNIVERSITY,6,4,2
NREC - NALLAMALLA REDDY ENGINEERING COLLEGE (AUTONOMOUS),110,25,85
GITAM VISAKHAPATNAM,2,1,1
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY DHARWAD,6,3,3
PRIST DEEMED UNIVERSITY,1,1,0
BANKATLAL BADRUKA COLLEGE FOR INFORMATION AND TECHNOLOGY,1,1,0
RMD ENGINEERING COLLEGE,2,1,1
SRM UNIVERSITY-AP.,1,0,1
S R UNIVERSITY,1,0,1
VJYA - VIJAYA ENGINEERING COLLEGE,30,6,24
"INTERNATIONAL INSTITUTE OF INFORMATION TECHNOLOGY, BANGALORE",1,0,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE TECHNOLOGIES,30,20,10
VGWL - VAGDEVI ENGINEERING COLLEGE,177,46,131
IIIT SRI CITY,4,3,1
SANSKRITHI SCHOOL OF ENGINEERING,2,1,1
ST JOSEPH'S DEGREE COLLEGE,1,1,0
METH - METHODIST COLLEGE OF ENGINEERING AND TECHNOLOGY (AUTONOMOUS),59,41,18
KLH UNIVERSITY,1,1,0
ABHINAV BALAJI,1,0,1
OMEGA BUSINESS SCHOOL,1,0,1
NAIMISA PHYSIOTHERAPY,1,0,1
SRM AP UNIVERSITY,1,0,1
DMSSVH COLLEGE OF ENGINEERING MACHILIPATNAM AFFLIATED TO JNTUK,5,3,2
NBKRIST,1,0,1
VGNT - VIGNAN INSTITUTE OF TECHNOLOGY AND SCI,103,34,69
CHTN - SREE CHAITANYA COLLEGE OF ENGINEERING,2,0,2
ADARSH COLLEGE OF ENGINEERING,1,1,0
SHRI VISHNU ENGINEERING COLLEGE FOR WOMEN,21,11,10
MALAVIYA NATIONAL INSTITUTE OF TECHNOLOGY JAIPUR,1,0,1
IARE - INSTITUTE OF AERONAUTICAL ENGINEERING,228,87,141
VELLORE INSTITUTE OF TECHNOLOGY CHENNAI,2,1,1
APARAJITHA SOFTWARE SERVICES LIMITED,1,0,1
UNIVERSITY OF BRISTOL,1,1,0
GAYATRI VIDYA PARISAD COLLEGE OF ENGINEERING FOR WOMEN,5,0,5
AMAZON,1,0,1
ST ANN'S COLLEGE OF ENGINEERING AND TECHNOLOGY,7,1,6
UNIVERSITY OF CONNECTICUT,1,0,1
JMTS - JYOTHISHMATHI INSTITUTE OF TECHNOLOGY AND SCI,6,1,5
SRI VENKATESWARA COLLEGE OF ENGINEERING KADAPA,1,0,1
INDIAN INTITUTE OF TECHNOLOGY MANDI,1,1,0
"DIET, GANGURU",1,0,1
SISG - SIDDHARTHA INSTT OF TECHNOLOGY AND SCIENCES,12,7,5
VIGNAN FOUNDATION FOR SCIENCE TECHNOLOGY AND RESEARCH,1,0,1
ACCENTURE,4,0,4
NIT WARANGAL,3,1,2
VIT VELLORE,2,0,2
VIT AP,6,3,3
MVGR COLLEGE OF ENGINEERING,48,20,28
DAYANANDA SAGAR COLLEGE OF ENGINEERING COLLEGE,1,0,1
VELLORE INSTITUTE OF TECHNOLOGY- AP,1,0,1
AMITY UNIVERSITY,3,1,2
SRMAP,1,0,1
"BVC COLLEGE OF ENGINEERING, PALACHARLA",3,0,3
"MAYNOOTH UNIVERSITY, IRELAND",1,0,1
CAPGEMINI,3,0,3
ST MARY'S GROUP OF INSTITUTIONS GUNTUR,1,1,0
RAVINDRA COLLEGE OF ENGINEERING FOR WOMEN,1,0,1
SRI KAALAHASTISWARA INSTITUTE OF INFORMATION AND MANAGEMENT SCIENCES,1,0,1
AEROSTAR ENGINEERING,1,0,1
AURG - AURORAS SCIENTIFIC AND TECHNOLOGICAL INSTITUTE,3,1,2
SASTRA UNIVERSITY,4,1,3
PSCMR,1,1,0
UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN,1,0,1
UNIVERSITY OF BRIDGEPORT,4,0,4
GOVERNMENT COLLEGE AUTONOMOUS RAJAHMUNDRY,1,1,0
KNRR - KASIREDDY NARAYANAREDDY COLL ENGG RES,8,1,7
RAMACHANDRA COLLEGE OF ENGINEERING,12,3,9
ANGLIA RUSKIN UNIVERSITY,1,0,1
QUEEN MARY UNIVERSITY OF LONDON ( GRADUATE ),1,0,1
VIGNANS INSTITUTE OF INFORMATION TECHNOLOGY (A),1,0,1
KENT STATE UNIVERSITY,1,0,1
RAJIV GANDHI UNIVERSITY KF KNOWLEDGR AND TECHNOLOGY,1,0,1
MALINENI LAKSHMAIAH WOMEN'S ENGINEERING COLLGE,1,1,0
VELAGAPUDI RAMAKRISHNA SIDDHARTHA ENGINEERING,1,1,0
VISHNU INSTITUTE OF TECHNOLOGY,13,1,12
MREW - MALLA REDDY COLLEGE OF ENGINEERING FOR WOMEN,23,12,11
VIGNAN UNIVERSITY,2,1,1
RAJIV GANDHI UNIVERSITY OF KNOWLEDGE AND TECHNOLOGY BASAR,1,0,1
CHAITANYA INSTITUTE OF TECHNOLOGY AND SCIENCE,1,0,1
NIT ANDHRA PRADESH,4,3,1
SATHYABAMA,1,0,1
PALAR AGRICULTURAL COLLEGE,1,0,1
VELAGAPUDI RAMAKRISHNA SIDDHARTHA ENGINEERING COLLAGE,1,0,1
SIR C R REDDY ENGINEERING COLLEGE OF ENGINEERING,1,1,0
EADA BUSINESS SCHOOL,1,1,0
UNH,1,0,1
VIT,3,1,2
R.V.R & J.C. COLLEGE OF ENGINEERING,1,1,0
TELANGANA MAHILA UNIVERSITY,1,1,0
SIR C.R.REDDY COLLEGE OF ENGINEERING ELURU,1,1,0
UNIVERSITY OF TEXAS AT DALLAS,2,0,2
SVES - SRI VENKATESWARA ENGINEERING COLLEGE,10,2,8
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY NAGPUR,2,0,2
PALV - PALLAVI ENGINEERING COLLEGE,132,24,108
PVP SIDDHARTHA INSTITUTE OF TECHNOLOGY,2,1,1
JNTM - JNTU COLLEGE OF ENGG MANTHANI,9,3,6
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY BHAGALPUR,1,0,1
DVR AND DR HS MIC COLLAGE OF TECHNOLOGY,5,1,4
THE ICFAI UNIVERSITY RAIPUR,1,1,0
SRI VENKATESHWARA COLLEGE OF ENGINEERING,1,0,1
NAGARJUNA UNIVERSITY UNIVERSITY CAMPUS GUNTUR,1,0,1
PVP SIDDHARTH INSTITUTE OF TECHNOLOGY,2,1,1
CHALAPATHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,47,11,36
VASIREDDY VENKATADRI INSTITUTE OF TECHNOLOGY (VVIT),1,1,0
SRM INSTITUTE OF SCIENCE AND TECHNOLOGY,13,6,7
VBIT - VIGNAN BHARATI INSTITUTE OF TECHNOLOGY (AUTONOMOUS),150,82,68
ROBERT MORRIS UNIVERSITY,1,0,1
GIET UNIVERSITY,1,0,1
ASRITHAKROTHA@GMAIL.COM,1,0,1
NATIONAL INSTITUTE OF TECHNOLOGY MEGHALAYA,1,1,0
BONAM VENKATA CHALAMAYYA ENGINEERING COLLEGE,9,5,4
VIGNAN'S INSTITUTE OF ENGINEERING FOR WOMEN,1,0,1
C R RAO AIMSCS,1,0,1
JEPPIAAR INSTITUTE OF TECHNOLOGY,1,1,0
KLUNIVERSITY,5,0,5
RMK COLLEGE OF ENGINEERING AND TECHNOLOGY,1,1,0
GEORGE MASON UNIVERSITY,1,0,1
DIABSOLUT,1,1,0
VELLORE INSTITUTE OF TECHNOLOGY AMARAVATI,1,1,0
TCS,2,1,1
ANRK - ANURAG ENGINEERING COLLGE,40,5,35
OKLAHOMA STATE UNIVERSITY,2,0,2
KAKINADA INSTITUTE OF ENGINEERING AND TECHNOLOGY,39,9,30
WUST,1,0,1
VIGNANA JYOTHI INSTUTITE OF ARTS AND SCIENCE,1,0,1
STUDENT,11,2,9
SRU UNVERISY,1,0,1
IIIT VADODARA INTERNATIONAL CAMPUS DIU,1,0,1
GURUKUL KANGRI UNIVERSITY,1,0,1
SNTI - SCIENT INSTITUTE OF TECHNOLOGY,7,2,5
NBKR INSTITUTE OF SCIENCE AND TECHNOLOY,1,1,0
SUVEGA TECHNOLOGIES PVT LTD,1,0,1
"UNIVERSITY OF MARYLAND, BALTIMORE COUNTY",1,0,1
ACHARYA NAGARJUNA UNIVERSITY,7,2,5
UNIVERSITY OF FINDLAY,1,0,1
GAYATRI VIDYA PARISAD COLLEGE OF ENGINEERING,6,3,3
KALLAM HARANADHAREDDY INSTITUTE OF TECHNOLOGY,1,0,1
COMMUNITY DREAMS FOUNDATION,1,0,1
LENDI INSTITUTE OF ENGINEERING AND TECHNOLOGY,7,0,7
SRI CHAITANYA INSTITUTE OF TECHNOLOGY SCIENCES,1,0,1
VELLORE INSITUTE OF TECHNOLOGY,1,1,0
SACRED HEART UNIVERSITY,2,1,1
AVNI - AVN INST OF ENGG TECHNOLOGY,8,2,6
ANNAMACHARYA UNIVERSITY,4,0,4
SRI KRISHNA DEVARAYA COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
PRIW - PRIYADARSHINI INSTITUTE OF SCIENCE & TECHNOLOGY FOR WOMEN,4,1,3
CARNEGIE MELLON UNIVERSITY AFRICA,1,0,1
ACEG - A C E ENGINEERING COLLEGE (AUTONOMOUS),121,79,42
UNIVERSITY OF MISSOURI,1,0,1
RV UNIVERSITY,2,2,0
POTTI SRIRAMULU CHALVADI MALLIKARJUNA RAO COLLEGE OF ENGINEERING AND TECHNOLOGY,1,0,1
